kanji,meaning,onyomi,kunyomi,radicals,radical_names,meaning_story,meaning_hint,reading_story,reading_hint,tags
狂,lunatic,きょう,くる,王,"King, Animal","The animal king? He's just this guy who lives in the forest, and thinks he's king of all the animals. He's a lunatic, though.","He's absolutely bat sh*t crazy, speaking of animals.",The animal king is such a lunatic he has no idea what day it is today. 'WHAT IS TODAY (きょう)?' he yells.,"WHAT IS TODAY WHAT IS TODAY? Imagine him yelling this over and over, then switch it to 'WHAT IS 今日???'",kanji level45
嬢,miss,じょう,むすめ,女,"Woman, Nurse","You call a nurse who's a woman miss. If you don't call her miss she might ignore you when you need help. Make sure to be polite and call your female nurse ""miss!""","Excuse me, Miss Nurse? I need to pee.","Even terrible people are polite enough to call their nurse miss. Even Joseph (じょう) Stalin, who happens to be in the bed next to yours. In fact, that's all he'll call her. ""Miss would you come over here and fluff my pillow?"" ""Miss could you bring me soup?""","""Miss! Joseph Stalin needs his achey tummy rubbed. Wait, Miss come back!""",kanji level45
裸,naked,ら,はだか,"ネ, 果","Pelican, Fruit","A pelican has taken some fruit, and rubbed it all over your naked body. It's worrisome that a pelican is doing this, but what're you going to do, right? Pelicans are big and scary.","Be a little afraid. Try not to move. The pelican is marking you with its fruit, and for some reason you're completely naked, too.","Ah ha. He was marking you with fruit so that the Egyptian God Ra (ら) could find you. Ra comes over and says: 'Mmm, here's my little fruit friend.' Then he takes a bite out of you.","Not sure what's going on here to be honest, but let Ra take a few bites out of your fruity body before telling him to stop.",kanji level45
磨,polish,ま,みが,"木, 石, 广","Tree, Stone, Mullet","Take the mullet and wrap it around a couple of trees. Then, rub a stone with it. If you use these things to rub the stone for long enough, you'll be able to polish it!","Look at the polished stone! It's so smooth, thanks to your mullet wrapped around a tree polisher.","A polished stone isn't just for looks, though. You're eating these stones, because there's nothing else to eat. It's a meager (みが) living, but it's way better than a rough stone, that's for sure.","Imagine eating smooth polished stones. Then, rough ones. They're both meager, but at least one goes down easier.",kanji level45
陰,shade,いん,かげ,"云, 今","Boobs, Now, Butcher","The butcher now needs boobs, specifically cow boobs, to fill his next order. He has them, but he needs to keep them cool, but there's no room in the freezer. So, he puts them in the shade where they're (hopefully) stay cool enough.","Look at the cow boob meat in the shade and wonder if it will stay good long enough there. It's pretty warm today, and the shade isn't all that cool.",Where did he put the meat? He put them in (いん) the shade. Got that? IN the shade.,"You might want to say that sentence a few times. There is shade, and things are in it.",kanji level45
肌,skin,き,はだ,"月, 几","Moon, Table","The moon table is a table that's made entirely of skin. You thought the table was made of moon, with all those pours and such, but when you look more closely, you realize it's skin. Disgusting, porey, skin.",Touch it and feel the 'moon table.' You know it's not made of moon. How ridiculous.,"But, when you go to touch this 'moon table' made of skin, you realize that it's harder (はだ) than you expected.","You'd think skin would be softer, but it's pretty hard. Much harder than you expected.",kanji level45
魂,"soul, spirit",こん,たましい,"云, 鬼","Boobs, Demon","The boobs demon (imagine a demon covered in boobs, or something) is a soul / spirit from another world who comes to this world to surprise people with all the boobs he's covered with. Weird dude, this one.","Imagine being visited by this spirit. It's not a great experience, to say the least.","He comes to visit you a lot, this spirit. He's always rolling around a lump of boobs, saying he's the Katamari Tamashii (たましい), and rolls balls of things around just like the original (but only with boobs).","Imagine him rolling a thing of boobs around, singing the Katamari Damacy song, if you know it. If not, you're missing out.",kanji level45
眺,stare,ちょう,なが,"目, 兆","Eye, Omen","An eye omen can be noticed when you are caught staring off into the distance, seeing visions and other omen-like things. That's why this kanji is stare.",Go ahead and stare off into the distance. What omens do you see with your eyes?,"The future! You see the future with your stare. The future is that... oh God. No. Mrs. Chou (ちょう) is going to come and kill us all! She is tired of throwing nails down on the streets, and this time she's going to finish us for good!",Tell everyone of the omen you stared out. We must prepare the defenses!,kanji level45
硬,stiff,こう,かた,"石, 更","Stone, Again","Feeling like stone again (and again, and again?). If your body is feeling like a stone all the time, every time you touch it, you're probably feeling quite stiff.",Touch your body again and again. Each time it's so stiff. What a pain.,"Now touch こういち's (こう) body. Once again, so stiff.","Don't get the wrong idea, sicko.",kanji level45
卓,table,たく,-,"ト, 早","Toe, Early","The toe is early. I hate it when the toes show up early. Well, if the toes are going to show up this early, I guess it's best to put them on the table.",See all the toes lined up on the table. They are the ones who showed up early.,"What do all the early toes on the table do while they're waiting until it's the right time? They just sit around on their table, talking (たく).",Imagine the toes talking to each other. 'Hello Mr. Toe!' 'Oh hello other Mr. Toe!',kanji level45
凶,villain,きょう,-,凶,Treasure Chest,"If there's a treasure chest, there's always a villain, too, trying to get to the treasure chest before the hero of the story.","And, the villain always gets to the treasure chest first, often via nefarious means. That villain, so important when it comes to treasure chests.","What day did the villain get to the treasure chest? He got to the treasure chest today (きょう), which is faster than the hero, who won't get here until tomorrow.",TODAY THIS TREASURE IS MINE! HAHAHAHA!,kanji level45
滝,waterfall,-,たき,竜,"Dragon, Tsunami","A tsunami in the shape of a dragon flies off the cliff, then comes crashing down to the ground. This skinny tsunami of water flying down to the ground is a waterfall.",Can you see why a tsunami dragon (especially the Asian skinny snake-like kind) could be a waterfall? Try to imagine it.,"Despite how cool a dragon waterfall is, to be honest it's also pretty tacky (たき).","Now imagine it being a bit tacky. Dragons are alright but... you just don't want to overdo it, you know?",kanji level45
